"Student Counts by District and Grade"
"All Districts"
"2008-09"

"",,"Grade",,,,,,,,,,,,,,
"District","District Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Andover School District","=""0010011""",32,42,46,35,42,42,50,45,0,0,0,0,0,0,334
"Ansonia School District","=""0020011""",99,224,233,203,217,217,184,180,191,214,244,196,161,159,2722
"Area Cooperative Educational Services","=""2440014""",18,69,92,95,101,123,122,355,372,387,73,77,72,142,2098
"Ashford School District","=""0030011""",34,48,35,41,54,52,50,56,57,61,0,0,0,0,488
"Avon School District","=""0040011""",31,216,257,274,294,289,278,280,317,276,278,249,277,253,3569
"Barkhamsted School District","=""0050011""",21,57,38,51,57,58,46,34,0,0,0,0,0,0,362
"Berlin School District","=""0070011""",52,234,208,229,247,230,250,238,250,256,255,261,240,273,3223
"Bethany School District","=""0080011""",15,71,76,78,68,83,74,86,0,0,0,0,0,0,551
"Bethel School District","=""0090011""",56,213,198,231,206,220,236,218,253,238,249,264,262,243,3087
"Bloomfield School District","=""0110011""",27,131,141,168,176,172,156,159,158,146,226,206,174,141,2181
"Bolton School District","=""0120011""","*",48,"*",55,57,57,75,69,97,83,71,74,67,68,869
"Bozrah School District","=""0130011""",23,22,21,23,25,26,"*",27,38,32,0,0,0,"*",261
"Branford School District","=""0140011""",77,218,246,237,238,273,256,254,306,276,252,284,315,283,3515
"Bridgeport School District","=""0150011""",706,1777,1852,1633,1720,1562,1591,1465,1494,1427,1605,1407,1261,1096,20596
"Bristol School District","=""0170011""",341,626,556,646,591,639,682,651,722,637,812,666,653,644,8866
"Brookfield School District","=""0180011""",41,191,174,192,190,227,205,218,246,247,247,264,268,242,2952
"Brooklyn School District","=""0190011""",102,80,101,105,90,104,99,93,95,115,"*","*",0,"*",987
"Canterbury School District","=""0220011""",44,61,83,63,49,58,50,63,58,72,"*","*",0,0,605
"Canton School District","=""0230011""",26,135,139,124,131,133,119,143,154,130,135,130,142,120,1761
"Capitol Region Education Council","=""2410014""",436,212,154,151,163,148,142,373,361,366,296,234,195,205,3436
"Chaplin School District","=""0240011""",21,22,22,19,18,29,16,31,0,0,0,0,0,0,178
"Charter School for Young Children on Asylum Hill District","=""2870013""",105,31,0,0,0,0,0,0,0,0,0,0,0,0,136
"Cheshire School District","=""0250011""",85,300,346,352,338,385,386,395,417,402,422,382,416,406,5032
"Clinton School District","=""0270011""",56,153,168,159,153,152,161,172,162,161,128,145,157,164,2091
"Colchester School District","=""0280011""",76,203,225,236,245,220,246,232,267,265,244,242,248,248,3197
"Columbia School District","=""0300011""",17,50,61,60,64,70,59,55,69,70,"*","*","*",0,579
"Cooperative Educational Services","=""2430014""",132,47,52,62,53,58,65,64,52,63,24,21,17,44,754
"Coventry School District","=""0320011""",14,135,147,128,150,158,156,159,174,183,140,158,127,133,1962
"Cromwell School District","=""0330011""",31,152,145,160,163,164,167,151,147,166,145,161,143,134,2029
"Danbury School District","=""0340011""",479,898,856,808,770,757,710,693,714,721,846,733,686,679,10350
"Darien School District","=""0350011""",59,363,399,371,408,365,390,391,386,355,342,323,277,303,4732
"Derby School District","=""0370011""",36,133,101,111,134,107,96,121,115,107,127,103,103,95,1489
"East Granby School District","=""0400011""",11,63,66,78,70,62,80,67,74,77,57,90,47,58,900
"East Haddam School District","=""0410011""",16,101,111,92,113,101,106,137,118,114,105,97,115,111,1437
"East Hampton School District","=""0420011""",40,147,157,151,134,171,179,166,156,153,165,137,144,164,2064
"East Hartford School District","=""0430011""",294,496,530,548,515,542,516,510,470,531,624,576,609,503,7264
"East Haven School District","=""0440011""",109,227,283,228,269,283,278,264,305,283,240,298,291,241,3599
"East Lyme School District","=""0450011""",50,181,200,196,203,202,195,210,225,245,286,331,313,332,3169
"East Windsor School District","=""0470011""",55,103,107,111,121,107,121,94,113,101,103,104,99,113,1452
"Eastford School District","=""0390011""",20,14,"*",22,20,24,18,20,17,19,0,0,0,"*",187
"Easton School District","=""0460011""",34,98,122,125,128,134,129,140,127,121,0,0,0,0,1158
"Education Connection","=""2420014""",167,0,0,"*",0,"*","*","*","*","*","*","*",6,"*",194
"Ellington School District","=""0480011""",46,189,200,204,201,220,197,211,188,204,221,171,194,199,2645
"Enfield School District","=""0490011""",187,441,442,441,451,442,477,421,449,475,593,494,536,465,6314
"Essex School District","=""0500011""",37,70,79,75,97,80,66,90,0,0,0,0,0,0,594
"Fairfield School District","=""0510011""",166,785,751,843,817,818,845,756,781,732,713,653,690,625,9975
"Farmington School District","=""0520011""",72,288,267,278,271,310,340,337,346,330,325,340,347,355,4206
"Franklin School District","=""0530011""",23,19,20,20,29,21,"*",20,27,29,0,0,0,"*",226
"Glastonbury School District","=""0540011""",71,458,522,522,512,497,548,535,575,558,523,545,482,535,6883
"Granby School District","=""0560011""",13,143,154,168,166,157,197,161,192,188,190,200,178,174,2281
"Greenwich School District","=""0570011""",150,675,689,718,663,696,672,619,651,663,648,664,678,707,8893
"Griswold School District","=""0580011""",82,133,140,145,155,140,136,125,144,151,199,219,182,172,2123
"Groton School District","=""0590011""",233,480,407,412,405,395,361,336,364,374,344,349,332,380,5172
"Guilford School District","=""0600011""",50,258,290,268,312,274,274,306,316,293,292,268,291,304,3796
"Hamden School District","=""0620011""",115,438,416,392,442,431,432,428,426,448,552,550,514,534,6118
"Hampton School District","=""0630011""",25,14,19,11,26,19,16,19,0,0,0,0,0,0,149
"Hartford School District","=""0640011""",841,1790,1761,1736,1611,1646,1573,1700,1717,1670,1862,1690,1272,1087,21956
"Hartland School District","=""0650011""",22,32,22,22,"*",27,22,18,29,26,"*",0,0,0,239
"Hebron School District","=""0670011""",38,148,154,149,178,169,168,169,0,0,0,0,0,0,1173
"Highville Charter School District","=""2860013""",61,42,39,40,33,20,18,16,14,17,0,0,0,0,300
"Integrated Day Charter School District","=""2640013""",33,34,33,33,33,33,33,33,35,30,0,0,0,0,330
"Jumoke Academy District","=""2610013""",42,41,44,46,46,47,42,39,41,24,0,0,0,0,412
"Kent School District","=""0680011""",11,39,32,34,28,32,24,32,30,22,0,0,0,0,284
"Killingly School District","=""0690011""",83,200,182,208,218,190,203,182,211,241,187,189,234,196,2724
"Learn","=""2450014""",311,277,93,94,86,86,79,"*","*","*","*",0,"*","*",1037
"Lebanon School District","=""0710011""",58,88,85,98,95,101,98,100,111,107,140,172,144,150,1547
"Ledyard School District","=""0720011""",50,174,163,159,161,172,208,222,232,225,223,235,269,268,2761
"Lisbon School District","=""0730011""",46,50,38,52,48,57,66,68,77,55,0,"*","*","*",564
