"Student Counts by District and Grade"
"All Districts"
"2008-09"

"",,"Grade",,,,,,,,,,,,,,
"Litchfield School District","=""0740011""",19,90,80,77,82,97,96,83,75,95,107,95,109,98,1203
"Madison School District","=""0760011""",11,200,246,239,285,278,298,299,314,328,341,312,290,299,3740
"Manchester School District","=""0770011""",206,538,524,558,503,539,543,474,450,447,627,493,506,528,6936
"Mansfield School District","=""0780011""",65,117,129,134,137,120,140,143,139,161,0,0,0,0,1285
"Marlborough School District","=""0790011""",24,98,90,96,95,91,88,94,0,0,0,0,0,0,676
"Meriden School District","=""0800011""",291,671,695,705,738,708,703,582,539,562,796,596,539,594,8719
"Middletown School District","=""0830011""",97,502,425,425,421,424,411,376,378,361,419,333,299,318,5189
"Milford School District","=""0840011""",170,555,500,563,552,576,562,585,585,578,530,520,527,523,7326
"Monroe School District","=""0850011""",52,251,225,271,317,287,306,334,346,314,331,366,294,356,4050
"Montville School District","=""0860011""",67,176,197,201,220,197,224,212,225,208,248,198,226,185,2784
"Naugatuck School District","=""0880011""",138,349,334,359,363,368,364,397,375,405,348,345,340,347,4832
"New Britain School District","=""0890011""",371,787,795,847,811,829,846,726,709,750,685,762,872,706,10496
"New Canaan School District","=""0900011""",52,314,304,285,317,333,288,293,328,357,329,320,296,288,4104
"New Fairfield School District","=""0910011""",80,176,196,212,204,225,239,247,235,267,265,246,262,202,3056
"New Hartford School District","=""0920011""",23,86,88,85,82,98,86,72,0,0,0,0,0,0,620
"New Haven School District","=""0930011""",1720,1607,1480,1453,1542,1417,1357,1438,1281,1267,1650,1405,1255,976,19848
"New London School District","=""0950011""",34,242,260,263,229,251,253,220,249,214,312,257,156,165,3105
"New Milford School District","=""0960011""",99,334,359,313,376,356,353,390,377,405,424,390,408,338,4922
"Newington School District","=""0940011""",80,312,300,310,300,312,316,376,368,378,375,389,382,335,4533
"Newtown School District","=""0970011""",84,320,401,393,441,427,432,471,436,493,411,439,428,436,5612
"Norfolk School District","=""0980011""",10,11,16,28,17,25,19,29,0,0,0,0,"*","*",157
"North Branford School District","=""0990011""",14,167,154,167,191,192,190,231,188,204,167,189,168,179,2401
"North Canaan School District","=""1000011""",19,35,28,39,34,39,36,32,35,41,0,0,0,0,338
"North Haven School District","=""1010011""",54,245,307,256,263,285,272,284,328,304,308,298,314,318,3836
"North Stonington School District","=""1020011""",18,63,51,53,63,75,58,65,66,55,60,60,54,53,794
"Norwalk School District","=""1030011""",204,898,868,802,789,798,774,839,768,741,961,890,777,733,10842
"Norwich School District","=""1040011""",256,397,408,397,364,410,407,379,411,389,63,37,34,52,4004
"Old Saybrook School District","=""1060011""",38,99,122,105,123,98,135,119,129,131,153,125,129,122,1628
"Orange School District","=""1070011""",22,162,183,178,184,185,204,202,0,0,0,0,0,0,1320
"Oxford School District","=""1080011""","*",174,179,192,166,190,178,139,184,171,144,157,120,"*",2027
"Plainfield School District","=""1090011""",102,175,202,198,195,206,193,190,184,193,222,241,222,197,2720
"Plainville School District","=""1100011""",39,163,177,172,166,177,205,188,184,215,234,239,213,170,2542
"Plymouth School District","=""1110011""",63,117,109,124,142,131,132,155,166,159,154,143,128,141,1864
"Pomfret School District","=""1120011""",43,59,56,50,56,59,51,58,59,50,0,"*","*","*",545
"Portland School District","=""1130011""",19,102,117,126,109,120,128,101,140,107,85,95,99,84,1432
"Preston School District","=""1140011""",26,51,51,45,52,42,55,45,59,64,"*",0,0,"*",494
"Putnam School District","=""1160011""",86,97,90,107,96,84,86,84,84,104,80,78,92,86,1254
"Redding School District","=""1170011""",66,110,120,141,122,156,157,146,140,146,0,0,0,0,1304
"Regional School District 06","=""2060012""",11,46,88,72,83,68,79,77,84,84,95,109,81,107,1084
"Regional School District 10","=""2100012""",65,210,172,229,225,231,213,217,243,218,232,189,212,206,2862
"Regional School District 12","=""2120012""",21,59,56,74,65,60,86,77,82,86,73,92,83,100,1014
"Regional School District 13","=""2130012""",38,149,153,173,154,188,174,179,167,186,143,148,160,131,2143
"Regional School District 14","=""2140012""",16,118,113,143,122,140,148,152,170,168,206,225,208,213,2142
"Regional School District 15","=""2150012""",58,301,334,342,320,342,361,353,375,360,372,389,348,304,4559
"Regional School District 16","=""2160012""",65,197,198,171,174,188,213,198,218,206,195,197,212,186,2618
"Regional School District 17","=""2170012""",54,196,203,174,200,187,200,208,202,202,196,172,161,192,2547
"Regional School District 18","=""2180012""",41,95,109,105,108,123,101,97,120,120,106,128,97,120,1470
"Ridgefield School District","=""1180011""",61,332,377,376,417,428,427,445,466,436,446,450,441,449,5551
"Rocky Hill School District","=""1190011""",46,185,194,180,203,204,233,195,204,197,204,184,206,190,2625
"Salem School District","=""1210011""",12,44,40,56,67,39,61,64,72,65,"*",0,0,"*",523
"Salisbury School District","=""1220011""",17,25,37,27,40,45,33,31,25,39,0,0,0,0,319
"Scotland School District","=""1230011""",20,19,16,21,28,21,36,29,0,0,0,0,0,0,190
"Seymour School District","=""1240011""",43,169,183,221,197,184,208,186,179,212,165,199,198,238,2582
"Sharon School District","=""1250011""",11,21,18,27,19,23,20,16,24,17,0,0,0,0,196
"Shelton School District","=""1260011""",66,378,439,391,420,432,469,438,435,441,428,403,424,406,5570
"Sherman School District","=""1270011""",18,31,36,52,55,48,48,59,61,52,0,0,0,0,460
"Side By Side Charter School District","=""2700013""",34,22,22,23,24,23,24,16,23,18,0,0,0,0,229
"Simsbury School District","=""1280011""",25,275,340,352,366,393,392,393,427,413,406,352,419,397,4950
"Somers School District","=""1290011""",18,96,114,125,114,115,134,132,145,149,146,143,142,156,1729
"South Windsor School District","=""1320011""",69,275,323,299,383,361,363,368,363,395,416,430,398,396,4839
"Southington School District","=""1310011""",93,500,540,486,550,504,504,527,543,495,514,574,496,540,6866
"Sprague School District","=""1330011""",31,40,41,41,31,36,34,"*",34,37,"*",0,0,0,355
"Stafford School District","=""1340011""",135,121,127,131,112,160,146,121,153,153,166,149,112,132,1918
"Stamford School District","=""1350011""",88,1237,1193,1200,1140,1141,1105,1010,1089,1089,1360,1115,1099,1090,14956
"Sterling School District","=""1360011""",28,66,56,44,49,50,59,54,54,53,0,0,0,0,513
"Stonington School District","=""1370011""",59,157,179,179,184,186,197,202,177,209,202,219,188,188,2526
"Stratford School District","=""1380011""",94,548,527,500,505,525,587,538,626,563,604,545,594,611,7367
"Suffield School District","=""1390011""",57,137,159,192,190,183,200,197,225,196,213,215,212,203,2579
"Thomaston School District","=""1400011""",26,97,77,94,88,88,95,101,98,100,89,101,95,80,1229
"Thompson School District","=""1410011""",45,85,90,106,103,110,106,113,125,125,121,93,98,86,1406
"Tolland School District","=""1420011""",44,211,237,225,257,254,253,255,251,268,233,231,238,202,3159
"Torrington School District","=""1430011""",59,354,374,376,390,389,394,379,357,402,345,308,299,332,4758
"Trumbull School District","=""1440011""",232,478,438,499,528,506,529,535,534,545,544,503,561,524,6956
"Vernon School District","=""1460011""",33,271,261,265,282,280,235,259,289,244,319,300,293,275,3606
"Voluntown School District","=""1470011""",35,28,29,29,24,28,27,31,45,30,"*","*",0,0,309
"Wallingford School District","=""1480011""",145,440,509,467,484,482,533,519,501,557,568,579,523,521,6828
"Waterbury School District","=""1510011""",696,1642,1533,1470,1421,1470,1402,1448,1422,1415,1196,1187,1098,1037,18437
"Waterford School District","=""1520011""","*","*",226,203,216,236,210,230,206,262,238,276,232,257,2900
"Watertown School District","=""1530011""",93,207,224,229,263,242,234,267,272,327,250,266,233,239,3346
"West Hartford School District","=""1550011""",183,762,742,807,770,764,822,698,706,792,766,810,778,729,10129
"West Haven School District","=""1560011""",115,483,538,507,524,505,528,476,451,519,475,411,402,379,6313
"Westbrook School District","=""1540011""",23,66,56,60,90,78,63,78,80,84,74,77,73,68,970
"Weston School District","=""1570011""",36,168,159,218,202,197,211,183,189,205,200,201,215,202,2586
"Westport School District","=""1580011""",56,408,412,430,465,433,436,451,446,472,437,492,411,433,5782
"Wethersfield School District","=""1590011""",57,252,270,269,284,279,330,294,289,276,301,313,321,297,3832
"Willington School District","=""1600011""",22,56,53,50,64,55,53,68,77,70,0,0,0,0,568
"Wilton School District","=""1610011""",44,325,319,334,357,337,357,352,325,336,334,326,312,338,4396
"Winchester School District","=""1620011""",22,94,112,111,100,102,119,121,110,109,"*","*","*",0,1004
"Windham School District","=""1630011""",242,294,271,283,275,258,257,226,220,233,250,265,241,208,3523
"Windsor Locks School District","=""1650011""",62,134,129,116,133,129,157,136,140,141,136,132,148,165,1858
"Windsor School District","=""1640011""",50,193,257,271,287,313,290,291,293,333,387,360,375,304,4004
"Wolcott School District","=""1660011""",66,160,205,198,183,204,217,203,276,248,211,220,225,249,2865
"Woodbridge School District","=""1670011""",16,100,91,101,110,90,121,127,0,0,0,0,0,0,756
"Woodstock School District","=""1690011""",27,88,98,100,97,85,96,129,99,109,0,0,"*","*",930
"Achievement First Hartford Academy Inc. District","=""2880013""",0,88,86,0,0,0,87,0,0,0,0,0,0,0,261
"Amistad Academy District","=""2790013""",0,86,85,85,0,0,78,75,70,64,37,37,24,0,641
"Canaan School District","=""0210011""",0,"*",10,10,8,8,8,"*",19,7,0,0,0,0,85
"Chester School District","=""0260011""",0,32,46,46,40,44,55,56,0,0,0,0,0,0,319
"Colebrook School District","=""0290011""",0,16,11,17,17,20,19,16,0,0,0,0,0,0,116
"Cornwall School District","=""0310011""",0,12,13,15,14,15,11,13,14,15,0,0,0,0,122
"Deep River School District","=""0360011""",0,42,50,54,59,44,53,53,0,0,0,0,0,0,355
"Elm City College Preparatory School","=""2810013""",0,55,55,52,51,54,60,56,55,42,29,0,0,0,509
"New Beginnings Inc., Family Academy District","=""2800013""",0,60,43,39,39,39,42,37,29,30,0,0,0,0,358
"Union School District","=""1450011""",0,13,10,11,8,7,10,8,6,6,0,0,0,0,79
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,0,"*","*","*","*","*","*","*","*",54,53,10,13,147
"Unified School District #2","=""3470015""",0,0,"*","*","*","*",10,8,17,34,77,85,61,34,336
"Odyssey Community School District","=""2630013""",0,0,0,0,0,30,39,33,37,39,0,0,0,0,178
"Bridgeport Achievement First District","=""2850013""",0,0,0,0,0,0,88,72,0,0,0,0,0,0,160
"Interdistrict School for Arts and Comm District","=""2650013""",0,0,0,0,0,0,0,61,60,61,0,0,0,0,182
"Park City Prep Charter School District","=""2830013""",0,0,0,0,0,0,0,64,80,80,0,0,0,0,224
"Regional School District 07","=""2070012""",0,0,0,0,0,0,0,"*",197,"*",199,207,198,220,1197
"Trailblazers Academy District","=""2780013""",0,0,0,0,0,0,0,53,46,51,0,0,0,0,150
"Regional School District 04","=""2040012""",0,0,0,0,0,0,0,0,163,172,158,172,146,148,959
"Regional School District 05","=""2050012""",0,0,0,0,0,0,0,0,439,396,422,401,410,436,2504
"Regional School District 08","=""2080012""",0,0,0,0,0,0,0,0,339,325,318,278,236,263,1759
"Regional School District 11","=""2110012""",0,0,0,0,0,0,0,0,77,69,44,33,38,57,318
"The Bridge Academy District","=""2690013""",0,0,0,0,0,0,0,0,56,50,50,39,39,28,262
"Unified School District #1","=""3360015""",0,0,0,0,0,0,0,0,0,28,310,205,229,246,1018
"Common Ground High School District","=""2680013""",0,0,0,0,0,0,0,0,0,0,54,48,20,33,155
"Connecticut Technical High School System","=""9000016""",0,0,0,0,0,0,0,0,0,0,3079,2626,2396,2156,10257
"Department of Mental Health and Addiction Services","=""3370015""",0,0,0,0,0,0,0,0,0,0,"*",0,"*","*",8
"Norwich Free Academy District","=""9010022""",0,0,0,0,0,0,0,0,0,0,720,653,585,530,2488
"Regional School District 01","=""2010012""",0,0,0,0,0,0,0,0,0,0,154,148,108,153,563
"Regional School District 09","=""2090012""",0,0,0,0,0,0,0,0,0,0,248,220,246,253,967
"Regional School District 19","=""2190012""",0,0,0,0,0,0,0,0,0,0,308,286,277,310,1181
"Stamford Academy District","=""2820013""",0,0,0,0,0,0,0,0,0,0,25,29,40,37,131
"The Gilbert School District","=""9020022""",0,0,0,0,0,0,0,0,0,0,100,81,125,94,400
"Woodstock Academy District","=""9030022""",0,0,0,0,0,0,0,0,0,0,298,302,286,298,1184
"Explorations District","=""2720013""",0,0,0,0,0,0,0,0,0,0,0,19,32,34,85
"Total","=""""",15572,40713,41219,41345,41818,41899,42549,42320,43264,43340,47643,44986,42946,41432,571046

