"Student Counts by District and Grade"
"All Districts"
"2007-08"

"",,"Grade",,,,,,,,,,,,,,
"District","District Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Andover School District","=""0010011""",32,43,42,39,42,51,46,52,0,0,0,0,0,0,347
"Ansonia School District","=""0020011""",80,228,235,233,225,189,186,183,204,212,239,189,176,164,2743
"Area Cooperative Educational Services","=""2440014""",29,74,81,97,119,107,109,371,381,384,77,66,67,136,2098
"Ashford School District","=""0030011""",41,35,39,55,47,48,54,57,61,68,0,0,0,0,505
"Avon School District","=""0040011""",48,222,267,293,289,275,278,314,281,305,250,284,243,263,3612
"Barkhamsted School District","=""0050011""",30,34,57,54,57,46,33,47,0,0,0,0,0,0,358
"Berlin School District","=""0070011""",48,191,225,240,232,259,235,245,257,278,253,236,259,317,3275
"Bethany School District","=""0080011""",16,79,71,68,84,76,86,90,0,0,0,0,0,0,570
"Bethel School District","=""0090011""",63,192,227,211,223,239,217,253,240,253,264,272,263,240,3157
"Bloomfield School District","=""0110011""",25,123,170,172,173,160,176,171,150,198,219,210,160,133,2240
"Bolton School District","=""0120011""","*","*",55,58,58,74,67,98,83,63,81,69,63,65,876
"Bozrah School District","=""0130011""",8,28,25,25,26,21,30,37,30,34,0,0,"*","*",269
"Branford School District","=""0140011""",58,215,233,236,248,263,252,294,275,268,284,323,280,285,3514
"Bridgeport School District","=""0150011""",660,1846,1770,1740,1604,1673,1537,1564,1476,1564,1708,1550,1228,1038,20958
"Bristol School District","=""0170011""",298,520,663,605,652,685,664,728,643,679,848,642,694,659,8980
"Brookfield School District","=""0180011""",40,130,204,179,229,196,210,239,245,258,261,273,249,242,2955
"Brooklyn School District","=""0190011""",98,95,106,89,100,95,93,97,113,103,"*",0,"*",0,993
"Canterbury School District","=""0220011""",19,78,59,51,56,53,72,61,71,61,"*","*",0,0,584
"Canton School District","=""0230011""",30,126,122,125,135,121,137,150,131,140,128,140,130,124,1739
"Capitol Region Education Council","=""2410014""",159,162,158,164,154,153,139,332,340,332,200,167,166,167,2793
"Chaplin School District","=""0240011""",30,23,19,22,29,18,34,35,0,0,0,0,0,0,210
"Cheshire School District","=""0250011""",97,296,352,342,371,391,400,416,397,430,381,423,412,436,5144
"Clinton School District","=""0270011""",44,171,150,154,148,163,175,160,160,145,147,159,170,167,2113
"Colchester School District","=""0280011""",77,226,230,242,216,239,228,264,274,266,242,253,244,261,3262
"Columbia School District","=""0300011""",18,55,64,63,67,61,55,68,69,68,"*","*","*",0,593
