"Student Counts by District and Grade"
"All Districts"
"2007-08"

"",,"Grade",,,,,,,,,,,,,,
"Cooperative Educational Services","=""2430014""",80,58,60,50,47,60,66,50,50,57,22,17,21,37,675
"Coventry School District","=""0320011""",11,151,125,150,156,156,163,172,185,183,177,121,123,143,2016
"Cromwell School District","=""0330011""",28,137,160,160,159,162,151,151,171,155,171,140,127,128,2000
"Danbury School District","=""0340011""",473,825,802,767,764,703,721,718,702,758,842,725,701,677,10178
"Darien School District","=""0350011""",53,394,373,396,372,394,375,389,356,372,331,298,307,252,4662
"Deep River School District","=""0360011""",38,45,58,60,44,52,53,39,0,0,0,0,0,0,389
"Derby School District","=""0370011""",34,92,121,133,98,88,117,113,109,133,114,108,108,104,1472
"East Granby School District","=""0400011""",12,58,90,70,64,79,63,75,80,64,82,50,59,68,914
"East Haddam School District","=""0410011""",18,111,90,111,105,103,127,116,116,121,96,121,116,82,1433
"East Hampton School District","=""0420011""",35,156,152,125,165,183,166,151,156,202,141,146,159,150,2087
"East Hartford School District","=""0430011""",305,497,567,508,549,535,556,470,544,503,669,644,585,542,7474
"East Haven School District","=""0440011""",98,259,240,267,283,294,268,289,292,269,298,280,273,289,3699
"East Lyme School District","=""0450011""",54,194,198,201,201,185,202,234,238,244,330,320,339,329,3269
"East Windsor School District","=""0470011""",60,110,105,132,100,119,96,117,89,104,105,121,117,119,1494
"Eastford School District","=""0390011""",18,"*",20,19,25,16,20,16,17,25,0,0,"*",0,189
"Easton School District","=""0460011""",43,120,122,123,135,127,132,129,123,126,0,0,0,0,1180
"Education Connection","=""2420014""",156,0,"*",0,"*","*",0,"*","*","*","*","*","*","*",179
"Ellington School District","=""0480011""",45,180,195,191,217,192,209,192,204,207,189,196,208,187,2612
"Enfield School District","=""0490011""",159,434,451,443,451,467,434,447,484,509,610,486,572,426,6373
"Fairfield School District","=""0510011""",142,736,848,811,822,839,748,777,711,739,664,705,616,639,9797
"Farmington School District","=""0520011""",57,252,273,260,293,331,337,357,329,325,341,359,352,343,4209
"Franklin School District","=""0530011""",28,18,19,25,23,"*",20,27,26,30,0,0,"*",0,235
"Glastonbury School District","=""0540011""",66,487,518,508,492,542,548,556,552,518,555,489,523,528,6882
"Granby School District","=""0560011""",13,149,176,165,159,199,161,188,190,185,196,179,169,210,2339
"Greenwich School District","=""0570011""",161,694,734,663,707,708,648,651,672,650,655,682,688,701,9014
"Griswold School District","=""0580011""",94,134,135,146,140,130,127,127,149,164,229,218,176,177,2146
"Groton School District","=""0590011""",239,429,429,412,401,373,354,369,382,378,364,352,387,329,5198
"Guilford School District","=""0600011""",54,275,274,295,284,274,296,316,293,312,265,288,310,303,3839
"Hamden School District","=""0620011""",110,459,409,437,438,455,432,423,447,477,603,538,538,540,6306
"Hampton School District","=""0630011""",23,19,14,26,19,17,20,28,0,0,0,0,0,0,166
"Hartford School District","=""0640011""",881,1910,1887,1706,1705,1726,1659,1704,1679,1771,2265,1469,1204,1113,22679
"Hartland School District","=""0650011""",19,22,24,20,28,22,20,31,27,23,0,0,0,0,236
"Hebron School District","=""0670011""",33,146,151,177,165,168,171,195,0,0,0,0,0,0,1206
"Highville Charter School District","=""2860013""",82,39,39,31,21,16,15,17,17,0,0,0,0,0,277
"Integrated Day Charter School District","=""2640013""",33,34,32,33,33,33,33,33,33,33,0,0,0,0,330
"Jumoke Academy District","=""2610013""",22,45,44,44,47,44,39,40,24,20,0,0,0,0,369
"Kent School District","=""0680011""",9,26,32,29,29,22,29,28,21,32,0,0,0,0,257
"Killingly School District","=""0690011""",71,186,208,212,188,194,185,209,230,203,183,241,220,205,2735
"Learn","=""2450014""",325,283,104,87,88,87,89,"*","*","*",0,"*",0,"*",1077
"Lebanon School District","=""0710011""",45,83,98,89,100,99,103,109,98,115,163,145,155,128,1530
"Ledyard School District","=""0720011""",54,159,168,161,183,210,227,246,223,197,249,272,293,263,2905
"Lisbon School District","=""0730011""",56,41,56,46,62,66,68,76,52,53,"*","*",0,0,579
"Litchfield School District","=""0740011""",17,73,75,81,92,88,86,77,91,115,100,111,97,112,1215
"Madison School District","=""0760011""",13,206,237,276,273,296,294,307,324,324,326,301,296,323,3796
"Manchester School District","=""0770011""",215,491,566,503,550,526,489,437,437,510,609,502,553,525,6913
"Mansfield School District","=""0780011""",67,127,125,130,125,137,145,136,166,149,0,0,0,0,1307
"Marlborough School District","=""0790011""",21,87,100,92,88,88,93,94,0,0,0,0,0,0,663
"Meriden School District","=""0800011""",309,653,740,730,713,713,801,525,565,580,760,614,631,574,8908
"Middletown School District","=""0830011""",108,441,436,427,424,421,399,360,348,361,409,296,346,312,5088
"Milford School District","=""0840011""",176,527,571,562,552,578,568,577,571,573,534,560,512,539,7400
"Monroe School District","=""0850011""",52,235,267,316,294,308,333,347,310,359,361,296,351,397,4226
"Montville School District","=""0860011""",54,197,206,221,190,219,208,235,211,267,228,236,197,202,2871
"Naugatuck School District","=""0880011""",147,317,374,358,365,355,402,383,406,405,344,351,343,381,4931
"New Britain School District","=""0890011""",317,772,891,834,838,854,784,701,751,781,753,858,893,692,10719
"New Canaan School District","=""0900011""",57,299,285,303,336,310,294,329,365,319,328,302,284,319,4130
"New Fairfield School District","=""0910011""",75,183,205,201,221,237,242,231,261,252,252,264,211,213,3048
"New Hartford School District","=""0920011""",22,81,81,86,97,88,73,90,0,0,0,0,0,0,618
"New Haven School District","=""0930011""",1593,1503,1522,1509,1578,1407,1390,1300,1293,1311,1807,1485,1165,1118,19981
"New London School District","=""0950011""",30,213,256,238,239,255,232,236,209,210,328,195,155,137,2933
"New Milford School District","=""0960011""",111,344,318,382,365,357,390,377,399,386,430,429,372,374,5034
"Newington School District","=""0940011""",74,302,306,297,306,312,357,357,382,335,449,358,353,378,4566
"Newtown School District","=""0970011""",86,349,393,442,419,429,464,422,500,432,446,433,425,423,5663
"Norfolk School District","=""0980011""",8,18,26,16,24,18,23,33,0,0,0,"*",0,"*",168
"North Branford School District","=""0990011""",20,151,170,185,193,185,227,191,204,175,194,162,188,189,2434
"North Canaan School District","=""1000011""",22,29,37,32,40,36,37,40,43,43,0,0,0,0,359
"North Haven School District","=""1010011""",58,269,287,262,281,277,277,324,306,300,323,338,327,268,3897
"North Stonington School District","=""1020011""",18,53,51,63,70,56,62,63,57,67,70,57,52,66,805
"Norwalk School District","=""1030011""",224,868,820,798,784,780,829,753,728,794,1008,816,803,724,10729
"Norwich School District","=""1040011""",246,383,389,383,398,412,369,420,390,507,40,31,37,65,4070
"Old Saybrook School District","=""1060011""",29,122,103,127,97,130,119,132,127,146,124,128,118,119,1621
"Orange School District","=""1070011""",28,169,173,184,187,212,198,226,0,0,0,0,0,0,1377
"Oxford School District","=""1080011""",26,170,205,164,182,174,145,187,173,161,159,111,"*","*",1861
"Plainfield School District","=""1090011""",97,170,221,199,202,197,190,186,198,198,286,238,218,184,2784
"Plainville School District","=""1100011""",35,160,168,164,175,202,179,195,213,222,280,213,202,221,2629
"Plymouth School District","=""1110011""",78,112,121,145,134,125,148,161,160,169,176,123,139,122,1913
"Pomfret School District","=""1120011""",43,52,50,49,61,51,56,61,51,66,"*","*",0,"*",543
"Portland School District","=""1130011""",16,113,125,116,118,122,105,135,105,111,92,103,87,85,1433
"Preston School District","=""1140011""","*",52,40,53,40,51,48,66,67,60,0,0,0,"*",509
"Putnam School District","=""1160011""",78,83,113,96,90,86,84,89,115,81,95,104,97,108,1319
"Redding School District","=""1170011""",62,114,134,117,153,155,148,141,145,140,0,0,0,0,1309
"Regional School District 06","=""2060012""",14,77,69,78,75,77,81,80,84,81,118,91,114,91,1130
"Regional School District 10","=""2100012""",58,170,229,220,237,224,212,247,220,252,188,218,203,177,2855
"Regional School District 12","=""2120012""",21,57,68,62,60,88,78,80,81,71,98,94,103,101,1062
"Regional School District 13","=""2130012""",36,131,170,152,186,174,183,166,183,178,148,160,135,154,2156
"Regional School District 14","=""2140012""",17,111,138,130,142,151,152,165,168,167,226,208,205,235,2215
"Regional School District 15","=""2150012""",65,314,338,317,343,356,347,362,351,365,388,381,332,324,4583
"Regional School District 16","=""2160012""",69,230,170,177,185,212,197,216,204,212,200,211,186,222,2691
"Regional School District 17","=""2170012""",54,193,171,199,184,196,213,202,201,227,180,166,193,183,2562
"Regional School District 18","=""2180012""",52,105,102,110,122,98,102,125,122,124,129,97,117,133,1538
"Ridgefield School District","=""1180011""",86,336,379,396,425,418,431,453,423,450,446,445,438,434,5560
"Rocky Hill School District","=""1190011""",49,187,181,202,202,229,193,208,193,213,186,204,183,192,2622
"Salem School District","=""1210011""",13,38,54,65,39,58,59,68,66,46,0,0,0,0,506
"Salisbury School District","=""1220011""",13,37,24,35,47,31,30,22,38,30,0,0,0,0,307
"Scotland School District","=""1230011""",19,16,22,27,19,35,30,22,0,0,0,0,0,0,190
"Seymour School District","=""1240011""",36,169,206,188,191,203,193,167,205,191,195,220,266,189,2619
"Sharon School District","=""1250011""",9,19,27,20,25,25,17,25,16,36,0,0,0,0,219
"Shelton School District","=""1260011""",70,391,423,418,430,468,428,433,427,484,413,421,420,444,5670
"Sherman School District","=""1270011""","*",33,49,53,45,46,57,61,53,43,0,0,0,"*",459
"Side By Side Charter School District","=""2700013""",36,23,23,24,24,22,20,24,18,16,0,0,0,0,230
"Simsbury School District","=""1280011""",36,291,347,356,378,384,391,419,406,413,362,421,391,378,4973
"Somers School District","=""1290011""",20,101,124,109,112,135,129,140,147,143,148,142,149,135,1734
"South Windsor School District","=""1320011""",71,293,298,372,349,362,399,358,394,405,442,416,414,399,4972
"Southington School District","=""1310011""",99,510,497,565,506,504,524,536,496,509,581,518,551,551,6947
"Sprague School District","=""1330011""",36,35,34,36,31,34,25,37,42,41,"*","*",0,"*",356
"Stafford School District","=""1340011""",140,122,121,103,158,146,122,154,161,164,164,126,134,102,1917
"Stamford School District","=""1350011""",103,1210,1245,1179,1149,1101,1080,1100,1069,1086,1287,1098,1154,1121,14982
"Sterling School District","=""1360011""","*",54,45,49,47,58,53,56,54,51,0,0,0,"*",504
"Stonington School District","=""1370011""",44,169,183,181,186,194,190,182,203,197,224,214,183,199,2549
"Stratford School District","=""1380011""",105,519,506,508,525,580,538,613,569,581,590,588,613,605,7440
"Suffield School District","=""1390011""",29,142,176,195,182,200,188,225,190,219,215,220,207,206,2594
"Thomaston School District","=""1400011""",27,81,98,88,93,95,102,98,97,112,98,101,81,101,1272
"Thompson School District","=""1410011""",41,98,115,105,110,105,118,126,122,143,112,103,103,87,1488
"Tolland School District","=""1420011""",44,239,219,259,257,250,259,244,267,246,235,237,200,187,3143
"Torrington School District","=""1430011""",54,353,395,391,382,394,385,364,414,410,343,322,316,345,4868
"Trumbull School District","=""1440011""",201,418,495,518,501,524,533,538,551,540,490,578,510,521,6918
"Vernon School District","=""1460011""",36,275,263,293,295,247,262,298,248,276,360,308,275,286,3722
"Voluntown School District","=""1470011""",35,25,30,26,29,26,28,41,29,41,"*","*",0,"*",315
"Wallingford School District","=""1480011""",139,399,502,489,476,522,522,493,553,563,576,553,540,528,6855
"Waterbury School District","=""1510011""",627,1640,1500,1473,1492,1419,1462,1423,1434,1379,1185,1211,1096,1060,18401
"Watertown School District","=""1530011""",82,217,233,266,245,225,266,273,313,290,281,249,247,225,3412
"West Hartford School District","=""1550011""",171,729,802,766,753,814,752,703,790,694,827,781,743,720,10045
"West Haven School District","=""1560011""",116,481,520,548,522,556,495,459,541,466,536,467,406,377,6490
"Westbrook School District","=""1540011""",14,57,60,87,74,64,77,74,86,78,77,72,72,93,985
"Weston School District","=""1570011""",36,148,220,191,196,215,174,191,205,196,203,223,204,189,2591
"Westport School District","=""1580011""",56,371,418,462,422,443,440,451,466,431,497,412,435,396,5700
"Wethersfield School District","=""1590011""",68,241,263,286,279,332,286,289,277,291,317,312,303,294,3838
"Willington School District","=""1600011""",19,57,50,65,57,52,69,76,70,86,0,0,0,0,601
"Wilton School District","=""1610011""",43,315,327,362,337,356,355,328,338,353,335,312,328,295,4384
"Winchester School District","=""1620011""",25,104,120,113,109,120,122,115,108,121,"*",6,"*","*",1073
"Windham School District","=""1630011""",294,261,286,286,264,260,251,217,252,257,322,267,242,216,3675
"Windsor Locks School District","=""1650011""",38,116,122,134,136,154,141,140,132,138,123,147,157,165,1843
"Windsor School District","=""1640011""",45,212,254,291,302,274,324,271,328,330,427,380,350,340,4128
"Wolcott School District","=""1660011""",66,199,199,178,192,218,192,263,249,246,223,223,253,227,2928
"Woodbridge School District","=""1670011""",22,89,105,103,91,118,135,125,0,0,0,0,0,0,788
"Woodstock School District","=""1690011""",27,96,98,88,84,104,129,98,108,115,0,"*","*","*",951
"Amistad Academy District","=""2790013""",0,85,86,0,0,0,76,74,69,66,47,44,0,0,547
"Canaan School District","=""0210011""",0,10,11,"*",8,8,"*",21,8,22,0,0,0,0,102
"Chester School District","=""0260011""",0,45,49,39,43,54,55,56,0,0,0,0,0,0,341
"Colebrook School District","=""0290011""",0,14,16,18,19,19,15,22,0,0,0,0,0,0,123
"Cornwall School District","=""0310011""",0,15,13,12,15,10,14,13,16,21,0,0,0,0,129
"Elm City College Preparatory School","=""2810013""",0,55,56,55,55,49,56,56,52,42,0,0,0,0,476
"Essex School District","=""0500011""",0,77,71,95,81,68,91,68,0,0,0,0,0,0,551
"New Beginnings Inc., Family Academy District","=""2800013""",0,40,43,40,40,41,46,37,36,39,0,0,0,0,362
"Union School District","=""1450011""",0,11,10,10,7,9,8,"*","*",7,0,0,0,0,73
"Waterford School District","=""1520011""",0,113,200,207,231,214,224,207,271,258,279,243,251,256,2954
"Unified School District #2","=""3470015""",0,0,"*","*","*",9,"*",13,21,34,78,101,63,43,375
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,0,0,0,0,"*","*","*","*","*",27,8,8,12,64
"Odyssey Community School District","=""2630013""",0,0,0,0,0,34,35,36,37,35,0,0,0,0,177
"Bridgeport Achievement First District","=""2850013""",0,0,0,0,0,0,85,0,0,0,0,0,0,0,85
"Interdistrict School for Arts and Comm District","=""2650013""",0,0,0,0,0,0,0,61,65,55,0,0,0,0,181
"Park City Prep Charter School District","=""2830013""",0,0,0,0,0,0,0,71,84,51,0,0,0,0,206
"Regional School District 07","=""2070012""",0,0,0,0,0,0,0,"*","*",186,213,187,207,191,1155
"Trailblazers Academy District","=""2780013""",0,0,0,0,0,0,0,49,51,50,0,0,0,0,150
"Regional School District 04","=""2040012""",0,0,0,0,0,0,0,0,173,166,170,158,150,144,961
"Regional School District 05","=""2050012""",0,0,0,0,0,0,0,0,389,431,402,408,432,421,2483
"Regional School District 08","=""2080012""",0,0,0,0,0,0,0,0,325,322,290,238,267,234,1676
"Regional School District 11","=""2110012""",0,0,0,0,0,0,0,0,67,52,42,45,53,40,299
"The Bridge Academy District","=""2690013""",0,0,0,0,0,0,0,0,50,50,47,47,40,26,260
"Unified School District #1","=""3360015""",0,0,0,0,0,0,0,0,0,39,405,246,263,242,1195
"Common Ground High School District","=""2680013""",0,0,0,0,0,0,0,0,0,0,70,26,38,18,152
"Connecticut Technical High School System","=""9000016""",0,0,0,0,0,0,0,0,0,0,2798,2600,2335,2240,9973
"Norwich Free Academy District","=""9010022""",0,0,0,0,0,0,0,0,0,0,655,682,570,542,2449
"Regional School District 01","=""2010012""",0,0,0,0,0,0,0,0,0,0,149,126,159,136,570
"Regional School District 09","=""2090012""",0,0,0,0,0,0,0,0,0,0,230,246,256,247,979
"Regional School District 19","=""2190012""",0,0,0,0,0,0,0,0,0,0,297,290,298,306,1191
"Stamford Academy District","=""2820013""",0,0,0,0,0,0,0,0,0,0,25,33,40,33,131
"The Gilbert School District","=""9020022""",0,0,0,0,0,0,0,0,0,0,87,119,107,95,408
"Woodstock Academy District","=""9030022""",0,0,0,0,0,0,0,0,0,0,302,284,293,274,1153
"Explorations District","=""2720013""",0,0,0,0,0,0,0,0,0,0,0,26,28,32,86
"Department of Mental Health and Addiction Services","=""3370015""",0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
"Total","=""""",14831,39944,42082,41867,42046,42606,42308,43068,43282,44005,48930,45077,43130,41672,574848

