"Student Counts by District and Grade"
"All Districts"
"Trend"

"",,"Grade",,,,,,,,,,,,,,
"Danbury School District","=""0340011""",3834,8637,8930,8688,8457,8228,8032,7642,7597,7711,8443,7433,7024,7087,107743
"Darien School District","=""0350011""",770,3835,3825,3850,3851,3820,3732,3851,3825,3758,3489,3332,3222,3166,48326
"Deep River School District","=""0360011""",38,436,461,472,482,493,514,502,0,0,0,0,0,0,3398
"Derby School District","=""0370011""",380,1168,1194,1197,1174,1126,1128,1124,1155,1142,1072,951,921,909,14641
"East Granby School District","=""0400011""",136,549,659,660,676,685,679,718,719,715,668,670,641,655,8830
"East Haddam School District","=""0410011""",226,807,851,878,896,921,967,1017,1053,1104,922,976,1001,1002,12621
"East Hampton School District","=""0420011""",387,1449,1484,1461,1498,1542,1534,1511,1528,1585,1338,1364,1370,1443,19494
"East Hartford School District","=""0430011""",3036,5125,5331,5297,5389,5372,5343,4768,4789,4919,6043,5553,5351,4893,71209
"East Haven School District","=""0440011""",1334,2231,2308,2278,2357,2446,2474,2507,2618,2657,2551,2433,2432,2389,33015
"East Lyme School District","=""0450011""",486,1627,1711,1828,1930,1975,2050,2163,2189,2229,2794,2837,2932,3089,29840
"East Windsor School District","=""0470011""",565,953,936,964,945,965,954,907,893,938,942,971,911,926,12770
"Eastford School District","=""0390011""",165,144,150,158,175,166,168,169,167,173,0,0,"*","*",1640
"Easton School District","=""0460011""",307,908,991,1045,1115,1146,1189,1209,1201,1224,0,0,0,0,10335
"EdAdvance","=""2420014""",213,0,0,0,"*",0,"*","*","*",0,0,"*",0,"*",219
"Education Connection","=""2420014""",1743,0,"*","*",6,"*",19,15,14,"*",25,40,29,34,1966
"Ellington School District","=""0480011""",489,1781,1975,2033,2069,2113,2143,2101,2084,2090,2049,1933,1940,1944,26744
"Elm City Montessori School District","=""2910013""",179,75,50,19,0,0,0,0,0,0,0,0,0,0,323
"Enfield School District","=""0490011""",1901,4113,4118,4038,4060,4081,4153,3920,4026,4184,4958,4237,4821,4098,56708
"Essex School District","=""0500011""",398,550,618,673,700,708,764,765,0,0,0,0,0,0,5176
"Fairfield School District","=""0510011""",1654,7193,7585,7756,7954,8057,8109,8048,8009,8037,7494,7310,7131,7057,101394
"Farmington School District","=""0520011""",791,2594,2781,2875,2977,3123,3198,3213,3214,3214,3227,3266,3263,3369,41105
"Franklin School District","=""0530011""",219,166,167,181,196,194,198,212,218,237,"*","*","*",14,2008
"Glastonbury School District","=""0540011""",593,3972,4368,4543,4728,4902,5060,5169,5330,5361,5372,5300,5278,5426,65402
"Granby School District","=""0560011""",217,1212,1364,1448,1479,1560,1605,1634,1702,1735,1827,1838,1818,1887,21326
"Greenwich School District","=""0570011""",1534,6814,6968,6933,6982,6934,6763,6418,6383,6349,6616,6663,6612,6762,88731
"Griswold School District","=""0580011""",870,1290,1302,1344,1384,1376,1396,1356,1425,1468,1717,1748,1598,1642,19916
"Groton School District","=""0590011""",2275,4401,4220,3998,3872,3696,3531,3352,3351,3361,3101,3099,3098,3123,48478
"Guilford School District","=""0600011""",443,2300,2500,2598,2725,2793,2844,2904,2882,2934,2791,2772,2823,2844,36153
"Hamden School District","=""0620011""",1447,4286,4239,4233,4136,4204,4162,4183,4330,4427,4774,4702,4734,4877,58734
"Hampton School District","=""0630011""",193,146,146,149,149,162,154,163,0,0,0,0,0,0,1262
"Hartford School District","=""0640011""",11127,17210,17237,16347,16099,16042,15389,16326,16357,16535,18690,14471,13027,12084,216941
"Hartland School District","=""0650011""",157,201,216,214,224,223,221,233,230,224,"*","*","*","*",2156
"Hebron School District","=""0670011""",520,1055,1150,1238,1328,1418,1501,1555,0,0,0,0,0,0,9765
"Highville Charter School District","=""2860013""",534,386,377,375,357,339,310,280,250,219,65,47,36,11,3586
"Integrated Day Charter School District","=""2640013""",332,332,328,332,330,328,333,332,331,325,0,0,0,0,3303
"Jumoke Academy District","=""2610013""",480,546,538,537,521,554,611,576,558,543,82,47,27,11,5631
"Kent School District","=""0680011""",81,284,292,294,299,298,291,287,268,267,0,0,0,0,2661
"Killingly School District","=""0690011""",1134,1818,1861,1859,1843,1849,1879,1897,1999,2041,2407,2176,1989,1939,26691
"Learn","=""2450014""",4196,2746,1139,1042,1002,895,840,365,319,299,1308,1094,977,751,16973
"Lebanon School District","=""0710011""",522,698,750,760,819,855,874,895,943,993,1129,1164,1200,1212,12814
"Ledyard School District","=""0720011""",594,1653,1730,1686,1715,1773,1825,1877,1918,1949,2327,2291,2414,2418,26170
"Lisbon School District","=""0730011""",377,377,396,410,447,468,502,544,549,564,23,42,28,47,4774
"Litchfield School District","=""0740011""",227,694,703,715,742,796,844,846,885,928,855,846,858,927,10866
"Madison School District","=""0760011""",372,1577,1872,2064,2237,2396,2580,2739,2883,2999,3124,3076,3104,3129,34152
"Manchester School District","=""0770011""",2479,5468,5465,5217,5107,4916,4889,4238,4269,4402,5102,4626,4674,4585,65437
"Mansfield School District","=""0780011""",810,1204,1243,1298,1316,1318,1366,1372,1435,1445,0,0,0,0,12807
"Marlborough School District","=""0790011""",210,756,813,855,895,930,932,899,0,0,0,0,0,0,6290
"Meriden School District","=""0800011""",2019,6776,7048,6976,6960,6862,6940,5094,5239,5388,7469,5869,5357,5327,83324
"Middletown School District","=""0830011""",1184,4247,4165,4114,4082,4084,4015,3474,3494,3565,3777,3216,3266,3181,49864
"Milford School District","=""0840011""",1707,4587,4685,4790,4900,5066,5153,5271,5418,5533,5047,4997,4900,5103,67157
"Monroe School District","=""0850011""",465,2086,2203,2360,2474,2554,2683,2829,2926,3030,2958,3035,3131,3326,36060
"Montville School District","=""0860011""",548,1636,1736,1807,1857,1908,1949,2019,2024,2107,2034,1934,1879,1855,25293
"Naugatuck School District","=""0880011""",1404,3284,3325,3314,3336,3395,3446,3506,3610,3650,3120,3266,3349,3549,45554
"New Beginnings Inc Family Academy District","=""""",57,57,72,61,54,63,36,44,32,23,0,0,0,0,499
"New Beginnings Inc., Family Academy District","=""2800013""",102,463,459,419,414,389,391,345,305,287,0,0,0,0,3574
"New Britain School District","=""0890011""",4215,8694,8660,8389,8176,8145,8014,7034,7078,7094,7256,6553,7358,6131,102797
"New Canaan School District","=""0900011""",421,2868,3056,3172,3270,3339,3177,3212,3243,3230,3251,3236,3118,3163,41756
"New Fairfield School District","=""0910011""",744,1603,1687,1766,1876,1960,2040,2126,2241,2311,2458,2465,2372,2372,28021
"New Hartford School District","=""0920011""",152,665,715,745,799,835,827,857,0,0,0,0,0,0,5595
"New Haven School District","=""0930011""",17714,16610,16284,15603,15521,14731,14406,14564,14229,13959,16731,14503,12697,11149,208701
"New London School District","=""0950011""",333,2263,2793,2746,2626,2616,2556,2138,2061,2012,3238,2311,1967,1917,31577
"New Milford School District","=""0960011""",881,3005,3123,3250,3332,3394,3477,3568,3605,3650,3940,3720,3713,3590,46248
"Newington School District","=""0940011""",700,2844,2956,3016,3107,3146,3209,3299,3393,3418,3635,3452,3467,3617,43259
"Newtown School District","=""0970011""",719,2742,3160,3353,3570,3753,3970,4167,4321,4371,4352,4308,4306,4377,51469
"Norfolk School District","=""0980011""",115,154,150,159,169,175,176,200,0,0,0,"*","*",6,1306
"North Branford School District","=""0990011""",207,1345,1445,1520,1568,1614,1735,1786,1840,1872,1601,1595,1668,1673,21469
"North Canaan School District","=""1000011""",172,377,290,298,318,326,308,322,330,338,0,0,0,0,3079
"North Haven School District","=""1010011""",468,2232,2569,2448,2510,2569,2592,2680,2783,2805,2897,2867,2882,2948,35250
"North Stonington School District","=""1020011""",304,573,560,577,593,588,578,600,592,586,546,522,515,549,7683
"Norwalk School District","=""1030011""",2460,9084,8931,8684,8463,8308,8172,7930,7926,7907,9202,8501,8228,7598,111394
"Norwich School District","=""1040011""",2629,3814,3862,3808,3824,3911,3830,3802,3823,3986,291,257,256,481,38574
"Old Saybrook School District","=""1060011""",444,894,925,1004,1003,1067,1111,1143,1176,1222,1255,1249,1267,1275,15035
"Orange School District","=""1070011""",279,1471,1622,1702,1759,1847,1885,1956,0,0,0,0,0,0,12521
"Oxford School District","=""1080011""",241,1430,1578,1575,1630,1703,1694,1715,1704,1695,1502,1477,1321,1199,20464
"Plainfield School District","=""1090011""",959,1660,1835,1810,1855,1894,1906,1879,1906,1942,1969,1936,1964,1906,25421
"Plainville School District","=""1100011""",624,1627,1696,1685,1746,1765,1829,1850,1879,1919,2070,1949,1965,1932,24536
"Plymouth School District","=""1110011""",650,1024,1039,1108,1165,1181,1251,1319,1380,1447,1333,1296,1315,1256,16764
"Pomfret School District","=""1120011""",277,389,426,437,484,516,518,542,532,561,"*","*",6,14,4711
"Portland School District","=""1130011""",212,1011,1041,1057,1072,1128,1141,1159,1170,1151,919,953,942,923,13879
"Preston School District","=""1140011""",230,398,421,446,445,454,464,481,505,537,"*","*",7,35,4432
"Putnam School District","=""1160011""",1010,904,935,936,945,910,911,937,950,937,824,808,770,773,12550
"Redding School District","=""1170011""",616,920,978,1064,1153,1254,1295,1357,1388,1398,0,0,0,0,11423
"Regional School District 01","=""2010012""","*","*","*","*","*","*","*","*","*","*",1154,1215,1195,1172,4756
"Regional School District 06","=""2060012""",347,510,558,609,637,678,683,722,743,764,1114,1034,1004,947,10350
"Regional School District 10","=""2100012""",488,1640,1780,1877,1994,2064,2061,2136,2174,2208,1979,2025,2021,2034,26481
"Regional School District 12","=""2120012""",281,430,485,514,548,601,639,665,702,729,767,762,778,807,8708
"Regional School District 13","=""2130012""",292,1159,1314,1362,1467,1553,1593,1628,1673,1724,1437,1453,1435,1519,19609
"Regional School District 14","=""2140012""",388,1022,1096,1144,1205,1244,1311,1359,1409,1450,2007,2053,2025,2082,19795
"Regional School District 15","=""2150012""",569,2543,2782,2907,3078,3197,3293,3375,3457,3497,3377,3315,3312,3164,41866
"Regional School District 16","=""2160012""",637,1750,1668,1690,1742,1830,1851,1933,1969,1971,1794,1846,1869,1977,24527
"Regional School District 17","=""2170012""",492,1580,1615,1731,1786,1833,1912,1949,1954,2019,1658,1647,1663,1690,23529
"Regional School District 18","=""2180012""",476,849,889,954,1025,1054,1091,1147,1159,1164,1154,1110,1099,1144,14315
"Ridgefield School District","=""1180011""",492,3121,3438,3620,3807,3980,4104,4274,4333,4383,4422,4411,4386,4415,53186
"Rocky Hill School District","=""1190011""",475,1812,1975,1962,1943,1980,1991,1963,1986,2038,1842,1862,1870,1942,25641
"Salem School District","=""1210011""",122,404,425,446,448,468,499,543,549,547,10,"*","*",16,4486
"Salisbury School District","=""1220011""",187,321,282,285,319,320,317,314,320,310,0,0,0,0,2975
"Scotland School District","=""1230011""",198,152,156,164,177,188,205,200,0,0,0,0,0,0,1440
"Seymour School District","=""1240011""",281,1580,1699,1816,1857,1861,1874,1880,1946,1963,1694,1742,1737,1706,23636
"Sharon School District","=""1250011""",83,203,195,189,196,200,189,200,194,211,0,0,0,0,1860
"Shelton School District","=""1260011""",634,3332,3625,3712,3802,4010,4101,4209,4309,4460,3941,3977,3898,4059,52069
"Sherman School District","=""1270011""",227,313,345,377,382,416,431,459,484,485,"*","*","*","*",3930
"Side By Side Charter School District","=""2700013""",375,221,220,224,227,228,218,218,209,191,0,0,0,0,2331
"Simsbury School District","=""1280011""",324,2524,2878,3061,3249,3448,3556,3667,3803,3910,3802,3831,3834,3981,45868
"Somers School District","=""1290011""",219,884,989,1052,1092,1158,1220,1239,1292,1337,1342,1318,1326,1364,15832
"South Windsor School District","=""1320011""",755,2586,2874,3048,3171,3269,3441,3420,3524,3671,3777,3674,3711,3748,44669
"Southington School District","=""1310011""",989,4513,4824,5011,5039,5098,5215,5316,5303,5312,5355,5148,5147,5194,67464
"Sprague School District","=""1330011""",350,365,360,366,364,351,356,357,370,356,"*",6,"*",11,3621
"Stafford School District","=""1340011""",1216,1169,1191,1211,1255,1259,1268,1264,1284,1342,1318,1252,1196,1176,17401
"Stamford Charter School for Excellence District","=""2960013""",114,111,107,49,0,0,0,0,0,0,0,0,0,0,381
"Stamford School District","=""1350011""",1409,13334,13065,12459,12145,11863,11580,10815,10856,10878,12884,11576,11567,11494,155925
"Sterling School District","=""1360011""",337,466,464,469,482,494,509,536,533,533,"*","*","*",9,4844
"Stonington School District","=""1370011""",459,1478,1576,1624,1676,1743,1778,1835,1889,1942,1948,2012,1908,1928,23796
"Stratford School District","=""1380011""",1480,5016,5103,5151,5198,5345,5400,5507,5669,5738,5650,5570,5619,5652,72098
"Suffield School District","=""1390011""",480,1354,1511,1619,1695,1773,1824,1913,2001,2035,2169,2141,2098,2075,24688
"Thomaston School District","=""1400011""",290,681,709,736,773,807,830,870,875,922,727,756,760,813,10549
"Thompson School District","=""1410011""",372,810,831,882,887,907,945,976,1017,1080,853,808,830,804,12002
"Tolland School District","=""1420011""",463,1761,1908,2068,2138,2215,2273,2317,2400,2422,2253,2224,2238,2190,28870
"Torrington School District","=""1430011""",574,3644,3846,3665,3646,3684,3655,3626,3655,3749,3065,2768,2707,2842,45126
"Trumbull School District","=""1440011""",2247,4259,4641,4789,4986,5066,5180,5271,5361,5391,5370,5438,5330,5384,68713
"Union School District","=""1450011""",12,74,75,80,84,84,87,93,89,86,0,0,0,0,764
"Vernon School District","=""1460011""",1312,2682,2650,2636,2621,2606,2585,2434,2478,2480,2958,2449,2349,2531,34771
"Voluntown School District","=""1470011""",342,286,283,292,292,294,299,323,323,333,13,7,6,11,3104
"Wallingford School District","=""1480011""",1490,3834,4477,4480,4556,4654,4747,4823,4957,5038,5182,5275,5124,5215,63852
"Waterbury School District","=""1510011""",6938,16232,15325,14712,14351,14188,14131,13805,13902,13884,12472,12548,11644,11261,185393
"Waterford School District","=""1520011""",7,1228,1890,1895,1994,2061,2093,2187,2277,2349,2229,2245,2285,2373,27113
"Watertown School District","=""1530011""",776,1955,2086,2150,2202,2263,2330,2432,2538,2615,2398,2385,2296,2301,30727
"West Hartford School District","=""1550011""",1926,6901,7275,7492,7691,7829,7888,7350,7447,7412,7785,7748,7690,7706,100140
"West Haven School District","=""1560011""",1304,4962,5206,5028,4986,4988,4787,4585,4644,4618,4870,4044,3613,3525,61160
"Westbrook School District","=""1540011""",264,537,534,589,617,630,658,683,699,720,697,734,756,763,8881
"Weston School District","=""1570011""",310,1438,1600,1713,1830,1911,1949,2010,2016,2029,2014,2032,1989,1983,24824
"Westport School District","=""1580011""",508,3651,3947,4159,4318,4425,4447,4531,4556,4569,4686,4635,4563,4495,57490
"Wethersfield School District","=""1590011""",706,2464,2571,2632,2709,2811,2847,2849,2890,2931,2953,2983,2985,3026,37357
"Willington School District","=""1600011""",206,461,462,479,498,516,530,568,602,632,0,0,0,0,4954
"Wilton School District","=""1610011""",499,2723,2959,3117,3223,3382,3451,3450,3445,3475,3369,3308,3252,3295,42948
"Winchester School District","=""1620011""",205,867,939,904,911,943,967,1005,447,464,31,43,43,66,7835
"Windham School District","=""1630011""",2575,2839,2794,2793,2688,2648,2569,2438,2419,2377,2185,1868,1722,1763,33678
"Windsor Locks School District","=""1650011""",667,1206,1234,1223,1244,1292,1309,1237,1275,1329,1249,1316,1355,1464,17400
"Windsor School District","=""1640011""",552,1973,2207,2375,2483,2538,2676,2449,2603,2776,3414,3137,3177,3033,35393
"Wolcott School District","=""1660011""",556,1488,1587,1658,1745,1849,1895,2152,2249,2291,2054,2106,2166,2243,26039
"Woodbridge School District","=""1670011""",201,980,1015,1028,1048,1064,1126,1143,0,0,0,0,0,0,7605
"Woodstock School District","=""1690011""",272,831,868,915,943,967,1014,1049,1055,1066,7,7,6,8,9008
"Achievement First Hartford Academy Inc. District","=""2880013""",0,794,807,724,609,507,1047,814,601,387,227,164,108,61,6850
"Amistad Academy District","=""2790013""",0,904,880,798,689,576,891,870,776,713,507,427,282,206,8519
"Booker T. Washington Academy District","=""2950013""",0,225,164,92,31,0,0,0,0,0,0,0,0,0,512
"Bridgeport Achievement First District","=""2850013""",0,642,555,469,371,275,939,805,670,520,320,219,138,86,6009
"Canaan School District","=""0210011""",0,88,91,85,84,87,87,98,105,108,0,0,0,0,833
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,6,22,32,47,57,61,61,57,63,579,736,646,576,2943
"Elm City College Preparatory School","=""2810013""",0,110,111,107,106,103,116,112,107,84,29,0,0,0,985
"Elm City College Preparatory School District","=""2890013""",0,494,498,483,466,442,496,497,448,408,300,220,154,118,5024
"Odyssey Community School District","=""2630013""",0,222,226,203,202,358,377,364,361,350,0,0,0,0,2663
"Unified School District #2","=""3470015""",0,0,"*","*",20,27,34,59,107,197,549,757,476,367,2607
"Park City Prep Charter School District","=""2830013""",0,0,0,0,0,0,288,869,845,768,0,0,0,0,2770
"Capital Preparatory Harbor School Inc. District","=""2970013""",0,0,0,0,0,0,0,80,86,87,79,82,60,29,503
"Great Oaks Charter School District","=""2940013""",0,0,0,0,0,0,0,354,214,109,0,0,0,0,677
"Interdistrict School for Arts and Comm District","=""2650013""",0,0,0,0,0,0,0,731,731,696,0,0,0,0,2158
"Regional School District 07","=""2070012""",0,0,0,0,0,0,0,"*","*",1805,1965,1936,1947,2014,11431
"Trailblazers Academy District","=""2780013""",0,0,0,0,0,0,0,480,497,523,0,0,0,0,1500
"Regional School District 04","=""2040012""",0,0,0,0,0,0,0,0,1730,1713,1568,1569,1542,1556,9678
"Regional School District 05","=""2050012""",0,0,0,0,0,0,0,0,3923,4020,3906,3955,4043,4164,24011
"Regional School District 08","=""2080012""",0,0,0,0,0,0,0,0,2975,3087,2828,2791,2767,2641,17089
"Regional School District 11","=""2110012""",0,0,0,0,0,0,0,0,608,601,427,410,393,427,2866
"The Bridge Academy District","=""2690013""",0,0,0,0,0,0,0,0,506,499,506,483,399,327,2720
"The Gilbert School District","=""9020022""",0,0,0,0,0,0,0,0,545,568,885,932,942,893,4765
"Unified School District #1","=""3360015""",0,0,0,0,0,0,0,0,0,207,1824,1528,1761,1786,7106
"Common Ground High School District","=""2680013""",0,0,0,0,0,0,0,0,0,0,599,445,377,289,1710
"Connecticut Technical High School System","=""9000016""",0,0,0,0,0,0,0,0,0,0,29270,27418,25156,23559,105403
"Department of Mental Health and Addiction Services","=""3370015""",0,0,0,0,0,0,0,0,0,0,"*","*",10,46,60
"Explorations District","=""2720013""",0,0,0,0,0,0,0,0,0,0,81,226,243,283,833
"Norwich Free Academy District","=""9010022""",0,0,0,0,0,0,0,0,0,0,5988,6154,5792,5645,23579
"Path Academy District","=""2930013""",0,0,0,0,0,0,0,0,0,0,175,145,80,32,432
"Regional School District 09","=""2090012""",0,0,0,0,0,0,0,0,0,0,2520,2515,2513,2555,10103
"Regional School District 19","=""2190012""",0,0,0,0,0,0,0,0,0,0,2959,2978,2941,3191,12069
"Stamford Academy District","=""2820013""",0,0,0,0,0,0,0,0,0,0,300,376,390,326,1392
"Woodstock Academy District","=""9030022""",0,0,0,0,0,0,0,0,0,0,2605,2739,2770,2757,10871
"Total","=""""",169783,387801,399746,400030,403829,407667,410423,414324,419188,423568,458696,434544,422158,416541,5568298

