"Student Counts by District and Grade"
"All Districts"
"Trend"

"",,"Grade",,,,,,,,,,,,,,
"District","District Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Andover School District","=""0010011""",284,325,360,366,390,419,438,447,0,0,0,0,0,0,3029
"Ansonia School District","=""0020011""",972,1953,2103,1905,1917,1914,1888,1858,1883,1944,2013,1815,1563,1552,25280
"Area Cooperative Educational Services","=""2440014""",93,703,844,973,1082,1154,1212,3618,3629,3573,528,554,585,1369,19917
"Ashford School District","=""0030011""",436,410,417,422,432,444,461,472,493,532,0,0,0,0,4519
"Avon School District","=""0040011""",422,1956,2286,2501,2592,2695,2761,2866,2871,2928,2690,2679,2654,2673,34574
"Barkhamsted School District","=""0050011""",234,349,411,433,455,482,484,483,0,0,0,0,0,0,3331
"Berlin School District","=""0070011""",526,1847,2048,2110,2185,2285,2320,2357,2397,2472,2343,2403,2441,2630,30364
"Bethany School District","=""0080011""",141,529,571,612,666,690,729,760,0,0,0,0,0,0,4698
"Bethel School District","=""0090011""",954,1980,2046,2084,2139,2209,2190,2280,2298,2370,2403,2388,2379,2401,30121
"Bloomfield School District","=""0110011""",1942,1623,1312,1336,1384,1375,1381,1419,1441,1470,1855,1846,1708,1563,21655
"Bolton School District","=""0120011""",112,462,527,572,580,598,635,669,683,683,807,789,777,793,8687
"Bozrah School District","=""0130011""",195,211,212,233,232,237,240,258,261,269,0,0,"*","*",2368
"Branford School District","=""0140011""",940,2105,2231,2308,2330,2416,2388,2490,2538,2602,2526,2649,2691,2819,33033
"Brass City Charter School District","=""2900013""",138,148,149,118,78,39,0,0,0,0,0,0,0,0,670
"Bridgeport School District","=""0150011""",8540,18407,18400,17564,17109,16845,15700,14625,14378,14370,15585,13644,12033,10409,207609
"Bristol School District","=""0170011""",3094,5793,6041,5970,6070,6182,6254,6312,6334,6420,7320,6365,6360,6382,84897
"Brookfield School District","=""0180011""",378,1653,1836,1863,1980,2036,2112,2209,2276,2319,2294,2376,2402,2446,28180
"Brooklyn School District","=""0190011""",1080,845,887,862,909,904,932,971,975,984,14,14,15,21,9413
"Canterbury School District","=""0220011""",377,473,493,496,511,522,553,560,577,601,"*",9,"*",13,5198
"Canton School District","=""0230011""",277,1129,1220,1263,1308,1337,1355,1379,1383,1373,1312,1286,1281,1255,17158
"Capitol Region Education Council","=""2410014""",6944,4050,3752,3406,2959,2513,2078,5632,5658,5346,5026,4460,3750,3352,58926
"Chaplin School District","=""0240011""",276,228,220,208,203,210,230,235,0,0,0,0,0,0,1810
"Charter School for Young Children on Asylum Hill District","=""2870013""",293,124,82,47,0,0,0,0,0,0,0,0,0,0,546
"Cheshire School District","=""0250011""",759,2613,3041,3184,3340,3539,3641,3775,3864,3935,3826,3909,3900,4071,47397
"Chester School District","=""0260011""","*","*",336,354,364,390,417,436,0,0,0,0,0,0,2610
"Clinton School District","=""0270011""",435,1392,1429,1469,1502,1528,1558,1573,1555,1561,1450,1411,1448,1439,19750
"Colchester School District","=""0280011""",751,1824,1904,1981,2040,2104,2171,2233,2341,2381,2242,2301,2352,2536,29161
"Colebrook School District","=""0290011""","*",130,"*",140,149,154,157,167,0,0,0,0,0,0,1025
"Columbia School District","=""0300011""",259,466,479,493,521,553,543,567,591,620,6,10,8,22,5138
"Cooperative Educational Services","=""2430014""",1383,494,550,554,589,623,640,630,603,608,266,255,242,590,8027
"Cornwall School District","=""0310011""","*","*",105,109,121,114,117,124,131,145,0,0,0,0,1057
"Coventry School District","=""0320011""",220,1251,1263,1313,1349,1363,1392,1420,1476,1531,1280,1281,1309,1428,17876
"Cromwell School District","=""0330011""",336,1427,1522,1541,1547,1581,1593,1592,1586,1570,1451,1436,1445,1440,20067
