"Student Counts by District and Grade"
"All Districts"
"Trend"

"",,"Grade",,,,,,,,,,,,,,
"District","District Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Andover School District","=""0010011""",256,309,337,343,363,391,401,404,0,0,0,0,0,0,2804
"Ansonia School District","=""0020011""",871,1773,1918,1729,1750,1736,1719,1681,1698,1769,1842,1621,1416,1393,22916
"Area Cooperative Educational Services","=""2440014""",89,630,765,880,981,1045,1085,3267,3258,3226,476,505,532,1231,17970
"Ashford School District","=""0030011""",389,375,375,387,388,413,418,432,454,481,0,0,0,0,4112
"Avon School District","=""0040011""",366,1758,2073,2243,2361,2452,2542,2587,2587,2651,2438,2439,2372,2417,31286
"Barkhamsted School District","=""0050011""",211,334,388,402,424,446,436,435,0,0,0,0,0,0,3076
"Berlin School District","=""0070011""",466,1676,1868,1927,1992,2074,2130,2109,2184,2217,2138,2172,2224,2382,27559
"Bethany School District","=""0080011""",126,495,530,571,611,634,675,700,0,0,0,0,0,0,4342
"Bethel School District","=""0090011""",862,1772,1835,1882,1913,1947,1972,2048,2099,2115,2171,2144,2180,2185,27125
"Bloomfield School District","=""0110011""",1674,1461,1176,1217,1269,1231,1258,1268,1307,1335,1684,1683,1552,1383,19498
"Bolton School District","=""0120011""",98,412,488,514,522,544,576,596,622,615,748,721,696,715,7867
"Bozrah School District","=""0130011""",167,195,202,210,215,211,218,231,240,251,0,0,"*","*",2160
"Branford School District","=""0140011""",813,1909,2044,2101,2118,2179,2172,2264,2316,2396,2288,2428,2470,2552,30050
"Brass City Charter School District","=""2900013""",105,113,115,79,39,0,0,0,0,0,0,0,0,0,451
"Bridgeport School District","=""0150011""",7538,16591,16709,15729,15369,15037,14020,13166,13033,12969,13985,12195,10756,9290,186387
"Bristol School District","=""0170011""",2798,5228,5445,5418,5499,5574,5645,5648,5744,5806,6724,5745,5782,5768,76824
"Brookfield School District","=""0180011""",350,1495,1663,1695,1801,1847,1874,1999,2048,2078,2090,2162,2188,2217,25507
"Brooklyn School District","=""0190011""",983,758,798,793,815,837,848,861,893,906,14,14,14,16,8550
"Canterbury School District","=""0220011""",330,427,453,457,467,477,516,506,540,523,9,"*","*",10,4727
"Canton School District","=""0230011""",249,1030,1108,1160,1194,1215,1232,1245,1242,1227,1174,1164,1159,1136,15535
"Capitol Region Education Council","=""2410014""",6056,3478,3164,2828,2386,2032,1714,4955,4964,4636,4347,3815,3150,2811,50336
"Chaplin School District","=""0240011""",255,212,191,187,190,189,214,214,0,0,0,0,0,0,1652
"Charter School for Young Children on Asylum Hill District","=""2870013""",293,124,82,47,0,0,0,0,0,0,0,0,0,0,546
"Cheshire School District","=""0250011""",694,2372,2772,2912,3077,3228,3334,3415,3454,3561,3482,3527,3553,3658,43039
"Chester School District","=""0260011""","*","*",313,325,334,360,387,401,0,0,0,0,0,0,2404
"Clinton School District","=""0270011""",384,1292,1327,1362,1365,1388,1418,1400,1420,1418,1291,1269,1316,1310,17960
"Colchester School District","=""0280011""",652,1686,1763,1810,1870,1941,2004,2044,2125,2177,2053,2101,2132,2315,26673
"Colebrook School District","=""0290011""","*",120,"*",129,139,141,145,157,0,0,0,0,0,0,947
"Columbia School District","=""0300011""",229,420,443,456,477,509,507,511,550,564,6,7,8,17,4704
"Cooperative Educational Services","=""2430014""",1218,453,486,511,538,559,565,569,531,552,239,224,219,521,7185
"Cornwall School District","=""0310011""","*","*",95,104,109,101,112,113,127,136,0,0,0,0,985
"Coventry School District","=""0320011""",173,1135,1161,1196,1212,1238,1268,1302,1349,1400,1162,1179,1188,1288,16251
"Cromwell School District","=""0330011""",277,1287,1383,1370,1408,1432,1440,1409,1437,1419,1321,1299,1293,1288,18063
"Danbury School District","=""0340011""",3587,7763,8010,7765,7531,7290,7191,6795,6775,6820,7543,6671,6299,6332,96372
"Darien School District","=""0350011""",687,3468,3471,3476,3451,3442,3370,3492,3417,3385,3138,2994,2878,2829,43498
"Deep River School District","=""0360011""",38,407,423,430,452,448,461,454,0,0,0,0,0,0,3113
"Derby School District","=""0370011""",335,1070,1103,1091,1059,1006,1001,1026,1035,1033,969,869,833,824,13254
"East Granby School District","=""0400011""",123,487,605,598,603,613,625,642,652,635,611,594,583,593,7964
"East Haddam School District","=""0410011""",210,753,776,807,818,847,894,946,976,999,837,901,914,911,11589
"East Hampton School District","=""0420011""",334,1310,1326,1331,1345,1377,1374,1379,1377,1444,1215,1237,1259,1310,17618
"East Hartford School District","=""0430011""",2729,4698,4874,4805,4813,4839,4821,4304,4354,4424,5505,5012,4876,4421,64475
"East Haven School District","=""0440011""",1152,2061,2104,2070,2165,2249,2260,2302,2396,2395,2305,2210,2200,2150,30019
"East Lyme School District","=""0450011""",436,1455,1571,1672,1736,1800,1855,1951,1980,2011,2545,2588,2647,2811,27058
"East Windsor School District","=""0470011""",517,875,866,894,861,882,880,826,817,863,867,896,817,860,11721
"Eastford School District","=""0390011""",151,126,139,146,162,150,156,149,152,161,0,0,"*","*",1497
"Easton School District","=""0460011""",282,830,914,961,1023,1041,1086,1088,1103,1125,0,0,0,0,9453
"Education Connection","=""2420014""",1743,0,"*","*","*","*",19,"*",14,"*",25,40,29,34,1966
"Ellington School District","=""0480011""",439,1612,1800,1831,1872,1916,1924,1880,1862,1874,1854,1732,1765,1736,24097
"Elm City Montessori School District","=""2910013""",119,41,23,0,0,0,0,0,0,0,0,0,0,0,183
"Enfield School District","=""0490011""",1671,3686,3752,3634,3695,3692,3767,3536,3670,3795,4534,3842,4414,3771,51459
"Essex School District","=""0500011""",361,506,579,631,640,669,709,710,0,0,0,0,0,0,4805
"Fairfield School District","=""0510011""",1474,6547,6910,7050,7181,7320,7222,7272,7237,7229,6757,6530,6348,6290,91367
"Farmington School District","=""0520011""",679,2325,2511,2596,2686,2790,2861,2898,2868,2882,2933,2978,2969,3051,37027
"Franklin School District","=""0530011""",204,147,159,162,186,175,182,195,197,219,"*","*","*",13,1845
"Glastonbury School District","=""0540011""",543,3617,4005,4157,4310,4461,4612,4687,4835,4837,4870,4779,4778,4915,59406
"Granby School District","=""0560011""",172,1119,1252,1305,1350,1433,1471,1506,1549,1581,1664,1661,1655,1728,19446
"Greenwich School District","=""0570011""",1372,6150,6268,6254,6231,6232,6078,5731,5740,5715,5932,5967,5989,6101,79760
"Griswold School District","=""0580011""",783,1172,1194,1223,1238,1237,1250,1236,1296,1324,1567,1606,1440,1502,18068
"Groton School District","=""0590011""",2070,4013,3865,3630,3503,3331,3187,3053,3028,3026,2808,2797,2848,2858,44017
"Guilford School District","=""0600011""",413,2107,2278,2381,2503,2523,2573,2596,2615,2662,2495,2499,2528,2567,32740
"Hamden School District","=""0620011""",1244,3908,3863,3818,3735,3802,3750,3744,3926,4013,4379,4323,4311,4425,53241
"Hampton School District","=""0630011""",178,136,130,140,136,146,140,151,0,0,0,0,0,0,1157
"Hartford School District","=""0640011""",9811,15746,15750,14797,14586,14463,13791,14834,14867,14896,16968,13084,11726,10731,196050
"Hartland School District","=""0650011""",150,187,200,195,204,205,207,210,199,197,"*","*","*","*",1967
"Hebron School District","=""0670011""",447,985,1062,1163,1242,1328,1382,1450,0,0,0,0,0,0,9059
"Highville Charter School District","=""2860013""",454,346,337,334,320,299,268,245,208,186,45,30,12,0,3084
"Integrated Day Charter School District","=""2640013""",298,299,295,299,297,297,298,299,297,294,0,0,0,0,2973
"Jumoke Academy District","=""2610013""",420,472,464,462,446,481,535,504,503,469,71,31,"*","*",4878
"Kent School District","=""0680011""",74,263,272,270,272,276,263,259,237,240,0,0,0,0,2426
"Killingly School District","=""0690011""",970,1656,1685,1689,1678,1688,1715,1731,1823,1859,2190,1938,1802,1717,24141
"Learn","=""2450014""",3688,2458,981,902,836,789,751,313,267,246,1099,889,773,560,14552
"Lebanon School District","=""0710011""",475,644,687,703,767,774,801,831,861,914,1042,1066,1107,1122,11794
"Ledyard School District","=""0720011""",530,1494,1569,1527,1555,1598,1639,1702,1749,1783,2120,2091,2216,2203,23776
"Lisbon School District","=""0730011""",348,339,362,380,408,428,464,496,505,508,23,41,28,43,4373
"Litchfield School District","=""0740011""",191,625,637,646,685,742,775,779,808,845,772,773,794,848,9920
"Madison School District","=""0760011""",326,1424,1724,1904,2050,2212,2373,2531,2667,2726,2837,2803,2808,2826,31211
"Manchester School District","=""0770011""",2207,4932,4936,4710,4600,4405,4419,3822,3853,3988,4674,4168,4278,4155,59147
"Mansfield School District","=""0780011""",731,1106,1138,1167,1195,1169,1229,1239,1311,1305,0,0,0,0,11590
"Marlborough School District","=""0790011""",191,695,749,793,833,848,838,808,0,0,0,0,0,0,5755
"Meriden School District","=""0800011""",1909,6125,6408,6272,6257,6145,6278,4602,4761,4886,6834,5318,4818,4761,75374
"Middletown School District","=""0830011""",1054,3875,3800,3755,3688,3699,3658,3173,3171,3185,3445,2898,2934,2827,45162
"Milford School District","=""0840011""",1507,4214,4297,4382,4480,4626,4726,4812,4958,5023,4600,4544,4463,4599,61231
