"Student Counts by District and Grade"
"All Districts"
"Trend"

"",,"Grade",,,,,,,,,,,,,,
"Monroe School District","=""0850011""",416,1883,2013,2149,2250,2327,2447,2590,2642,2770,2725,2790,2830,3039,32871
"Montville School District","=""0860011""",502,1476,1604,1668,1670,1739,1798,1837,1826,1927,1852,1780,1691,1713,23083
"Naugatuck School District","=""0880011""",1253,2967,3009,3010,3018,3074,3113,3192,3282,3312,2819,2974,3037,3213,41273
"New Beginnings Inc., Family Academy District","=""2800013""",102,463,459,419,414,389,391,345,305,287,0,0,0,0,3574
"New Britain School District","=""0890011""",3716,7840,7744,7507,7361,7317,7212,6323,6350,6473,6502,5950,6816,5542,92653
"New Canaan School District","=""0900011""",386,2595,2757,2834,2955,2982,2845,2859,2940,2852,2938,2920,2805,2828,37496
"New Fairfield School District","=""0910011""",667,1467,1535,1628,1724,1796,1868,1974,2051,2110,2270,2239,2161,2137,25627
"New Hartford School District","=""0920011""",135,624,655,698,739,758,756,786,0,0,0,0,0,0,5151
"New Haven School District","=""0930011""",15926,14983,14718,14016,13867,13072,12757,13012,12738,12444,15088,13014,11291,9794,186720
"New London School District","=""0950011""",299,1973,2489,2405,2321,2302,2268,1876,1835,1814,2935,2060,1729,1712,28018
"New Milford School District","=""0960011""",775,2732,2881,2979,3053,3086,3160,3224,3263,3308,3574,3378,3351,3267,42031
"Newington School District","=""0940011""",644,2578,2682,2737,2808,2825,2897,2975,3069,3086,3305,3130,3170,3284,39190
"Newtown School District","=""0970011""",659,2516,2900,3101,3306,3459,3653,3822,3961,3976,3924,3906,3877,3939,46999
"Norfolk School District","=""0980011""",108,140,136,145,156,162,161,188,0,0,0,"*","*",6,1204
"North Branford School District","=""0990011""",187,1226,1323,1379,1434,1496,1595,1642,1702,1689,1463,1458,1520,1513,19627
"North Canaan School District","=""1000011""",156,335,265,277,289,285,289,297,298,310,0,0,0,0,2801
"North Haven School District","=""1010011""",429,2014,2379,2232,2288,2305,2371,2448,2503,2567,2628,2612,2631,2681,32088
"North Stonington School District","=""1020011""",265,524,503,518,536,526,530,547,531,527,500,481,474,490,6952
"Norwalk School District","=""1030011""",2186,8259,8064,7813,7596,7408,7293,7108,7061,7057,8323,7610,7351,6767,99896
"Norwich School District","=""1040011""",2344,3420,3494,3469,3457,3536,3445,3464,3477,3607,284,241,244,440,34922
"Old Saybrook School District","=""1060011""",393,824,856,902,932,979,1010,1051,1068,1111,1130,1138,1153,1171,13718
"Orange School District","=""1070011""",242,1314,1476,1545,1613,1668,1710,1786,0,0,0,0,0,0,11354
"Oxford School District","=""1080011""",219,1309,1442,1458,1503,1550,1536,1542,1541,1533,1359,1319,1180,1021,18512
"Plainfield School District","=""1090011""",822,1511,1686,1661,1685,1721,1734,1718,1742,1754,1814,1770,1795,1716,23129
"Plainville School District","=""1100011""",533,1449,1528,1532,1568,1601,1659,1673,1689,1734,1883,1772,1800,1749,22170
"Plymouth School District","=""1110011""",595,941,948,1021,1050,1087,1120,1211,1268,1326,1222,1164,1179,1128,15260
"Pomfret School District","=""1120011""",257,364,382,405,452,475,482,489,483,517,"*","*",6,13,4334
"Portland School District","=""1130011""",180,912,938,969,973,1020,1044,1047,1059,1043,831,850,853,823,12542
"Preston School District","=""1140011""",191,367,380,407,397,407,422,438,467,477,"*","*",7,34,4002
"Putnam School District","=""1160011""",902,822,861,850,843,826,828,841,866,846,744,733,694,706,11362
"Redding School District","=""1170011""",561,817,912,982,1061,1151,1203,1255,1265,1279,0,0,0,0,10486
"Regional School District 06","=""2060012""",277,470,512,553,588,616,644,659,687,708,1000,940,889,832,9375
"Regional School District 10","=""2100012""",445,1504,1639,1741,1821,1876,1894,1952,1963,1990,1811,1827,1819,1833,24115
"Regional School District 12","=""2120012""",229,400,449,476,508,557,580,620,651,668,695,695,714,756,7998
"Regional School District 13","=""2130012""",267,1044,1206,1253,1365,1405,1476,1480,1540,1559,1302,1306,1310,1351,17864
"Regional School District 14","=""2140012""",350,926,995,1047,1087,1146,1193,1224,1291,1331,1851,1851,1828,1907,18027
"Regional School District 15","=""2150012""",510,2329,2557,2678,2825,2935,3006,3087,3123,3171,3055,3012,3016,2833,38137
"Regional School District 16","=""2160012""",586,1620,1516,1543,1605,1649,1687,1759,1771,1793,1623,1674,1696,1794,22316
"Regional School District 17","=""2170012""",452,1439,1507,1596,1630,1681,1743,1766,1790,1806,1492,1481,1496,1533,21412
"Regional School District 18","=""2180012""",431,784,822,879,947,973,1008,1049,1041,1058,1019,992,981,1023,13007
"Ridgefield School District","=""1180011""",457,2832,3148,3298,3464,3602,3742,3858,3923,3936,4011,3993,3966,3972,48202
"Rocky Hill School District","=""1190011""",421,1616,1733,1731,1745,1788,1802,1771,1800,1837,1661,1674,1685,1756,23020
"Salem School District","=""1210011""",106,359,383,407,412,427,455,482,513,502,10,"*","*",15,4077
"Salisbury School District","=""1220011""",168,289,252,257,289,288,296,289,282,285,0,0,0,0,2695
"Scotland School District","=""1230011""",176,142,140,156,161,178,186,185,0,0,0,0,0,0,1324
"Seymour School District","=""1240011""",264,1429,1584,1662,1677,1686,1721,1710,1759,1766,1539,1561,1584,1536,21478
"Sharon School District","=""1250011""",75,189,183,171,183,182,177,181,176,193,0,0,0,0,1710
"Shelton School District","=""1260011""",568,2982,3298,3357,3474,3661,3731,3833,3937,4048,3558,3599,3553,3655,47254
"Sherman School District","=""1270011""",213,285,315,342,358,379,389,425,444,456,"*","*","*","*",3615
"Side By Side Charter School District","=""2700013""",337,198,197,201,206,204,194,196,189,173,0,0,0,0,2095
"Simsbury School District","=""1280011""",286,2262,2636,2784,2972,3132,3254,3367,3457,3566,3446,3468,3500,3577,41707
"Somers School District","=""1290011""",189,809,905,958,1010,1058,1091,1133,1176,1200,1230,1188,1207,1247,14401
"South Windsor School District","=""1320011""",675,2300,2593,2757,2839,2977,3136,3091,3211,3343,3434,3349,3375,3401,40481
"Southington School District","=""1310011""",878,4113,4411,4539,4555,4612,4729,4761,4772,4769,4783,4674,4599,4687,60882
"Sprague School District","=""1330011""",317,330,331,331,331,316,324,324,334,321,"*","*","*",10,3282
"Stafford School District","=""1340011""",1115,1063,1097,1094,1131,1155,1132,1149,1184,1228,1200,1163,1105,1059,15875
"Stamford Charter School for Excellence District","=""2960013""",56,54,54,0,0,0,0,0,0,0,0,0,0,0,164
"Stamford School District","=""1350011""",1134,12043,11729,11156,10858,10540,10317,9715,9748,9785,11654,10447,10431,10268,139825
"Sterling School District","=""1360011""",302,429,417,431,440,454,472,487,489,474,"*","*","*",7,4413
"Stonington School District","=""1370011""",418,1356,1439,1486,1541,1571,1615,1679,1734,1763,1772,1837,1728,1749,21688
"Stratford School District","=""1380011""",1312,4567,4633,4688,4688,4811,4846,4973,5114,5149,5157,5074,5088,5142,65242
"Suffield School District","=""1390011""",430,1225,1365,1464,1549,1620,1652,1766,1805,1854,1976,1916,1894,1891,22407
"Thomaston School District","=""1400011""",260,625,648,677,717,738,763,801,797,825,666,686,700,748,9651
"Thompson School District","=""1410011""",330,735,766,810,808,828,869,886,921,991,790,739,761,750,10984
"Tolland School District","=""1420011""",421,1623,1776,1880,1969,2034,2082,2136,2197,2203,2044,2024,2026,1971,26386
"Torrington School District","=""1430011""",473,3304,3480,3323,3300,3321,3301,3263,3298,3424,2843,2543,2450,2602,40925
"Trumbull School District","=""1440011""",2015,3860,4197,4385,4485,4580,4681,4768,4804,4841,4883,4897,4765,4867,62028
"Union School District","=""1450011""",10,64,71,76,76,77,86,85,81,70,0,0,0,0,696
"Vernon School District","=""1460011""",1168,2440,2404,2381,2390,2344,2336,2202,2222,2251,2680,2248,2158,2323,31547
"Voluntown School District","=""1470011""",312,263,258,266,262,268,268,291,295,302,13,"*","*",10,2819
"Wallingford School District","=""1480011""",1311,3427,4122,4066,4134,4240,4350,4377,4453,4577,4695,4803,4667,4722,57944
"Waterbury School District","=""1510011""",6119,14697,13850,13187,12897,12693,12669,12408,12480,12463,11261,11284,10381,10003,166392
"Waterford School District","=""1520011""",7,1089,1723,1735,1800,1861,1925,1983,2071,2116,2001,2049,2072,2146,24578
"Watertown School District","=""1530011""",700,1766,1909,1953,2013,2039,2117,2210,2311,2402,2180,2164,2094,2087,27945
"West Hartford School District","=""1550011""",1682,6276,6628,6830,6946,7078,7123,6624,6669,6632,7073,6969,6942,6903,90375
"West Haven School District","=""1560011""",1185,4479,4721,4604,4507,4523,4319,4085,4219,4204,4464,3644,3241,3179,55374
"Westbrook School District","=""1540011""",238,481,501,543,564,581,604,623,635,671,649,671,666,687,8114
"Weston School District","=""1570011""",285,1310,1457,1567,1666,1738,1764,1822,1822,1821,1825,1816,1782,1775,22450
"Westport School District","=""1580011""",454,3324,3574,3798,3895,4011,4013,4081,4104,4098,4221,4142,4095,4057,51867
"Wethersfield School District","=""1590011""",644,2225,2311,2394,2459,2538,2581,2589,2600,2660,2666,2688,2668,2738,33761
"Willington School District","=""1600011""",186,420,416,435,462,460,483,530,554,580,0,0,0,0,4526
"Wilton School District","=""1610011""",459,2494,2703,2824,2970,3072,3123,3107,3130,3115,3033,2979,2921,2940,38870
"Winchester School District","=""1620011""",191,802,865,837,834,853,900,917,446,464,27,40,35,59,7270
"Windham School District","=""1630011""",2311,2552,2507,2510,2416,2324,2297,2188,2163,2140,2005,1719,1582,1627,30341
"Windsor Locks School District","=""1650011""",572,1100,1112,1111,1143,1180,1180,1122,1170,1203,1135,1199,1245,1356,15828
"Windsor School District","=""1640011""",465,1791,2017,2163,2282,2303,2463,2201,2379,2551,3072,2868,2860,2766,32181
"Wolcott School District","=""1660011""",506,1348,1442,1530,1598,1692,1745,1956,2062,2098,1847,1902,1982,2046,23754
"Woodbridge School District","=""1670011""",178,882,898,918,929,957,1018,1045,0,0,0,0,0,0,6825
"Woodstock School District","=""1690011""",242,764,795,834,852,879,936,935,955,950,"*","*",6,7,8166
"Achievement First Hartford Academy Inc. District","=""2880013""",0,714,718,632,517,414,902,687,460,332,186,124,67,31,5784
"Amistad Academy District","=""2790013""",0,810,787,705,596,484,796,778,686,626,434,362,231,167,7462
"Booker T. Washington Academy District","=""2950013""",0,140,89,42,0,0,0,0,0,0,0,0,0,0,271
"Bridgeport Achievement First District","=""2850013""",0,547,460,374,281,185,840,708,575,432,248,160,99,56,4965
"Canaan School District","=""0210011""",0,81,83,79,75,81,80,89,91,101,0,0,0,0,760
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,"*","*",24,42,49,44,54,43,46,500,651,559,494,2530
"Elm City College Preparatory School","=""2810013""",0,110,111,107,106,103,116,112,107,84,29,0,0,0,985
"Elm City College Preparatory School District","=""2890013""",0,432,433,421,401,378,434,432,382,346,246,185,124,84,4298
"Odyssey Community School District","=""2630013""",0,186,190,166,166,320,339,326,324,318,0,0,0,0,2335
"Regional School District 01","=""2010012""",0,"*","*",0,"*","*",0,0,"*","*",1062,1094,1105,1059,4330
"Unified School District #2","=""3470015""",0,0,"*","*",20,26,34,59,104,189,507,714,443,341,2451
"Park City Prep Charter School District","=""2830013""",0,0,0,0,0,0,190,771,758,691,0,0,0,0,2410
"Capital Preparatory Harbor School Inc. District","=""2970013""",0,0,0,0,0,0,0,43,42,45,40,45,23,11,249
"Great Oaks Charter School District","=""2940013""",0,0,0,0,0,0,0,241,112,0,0,0,0,0,353
"Interdistrict School for Arts and Comm District","=""2650013""",0,0,0,0,0,0,0,641,641,606,0,0,0,0,1888
"Regional School District 07","=""2070012""",0,0,0,0,0,0,0,"*","*",1617,1795,1738,1770,1800,10327
"Trailblazers Academy District","=""2780013""",0,0,0,0,0,0,0,439,449,483,0,0,0,0,1371
"Regional School District 04","=""2040012""",0,0,0,0,0,0,0,0,1547,1561,1411,1421,1385,1401,8726
"Regional School District 05","=""2050012""",0,0,0,0,0,0,0,0,3529,3641,3524,3591,3678,3800,21763
"Regional School District 08","=""2080012""",0,0,0,0,0,0,0,0,2741,2804,2568,2551,2486,2381,15531
"Regional School District 11","=""2110012""",0,0,0,0,0,0,0,0,563,549,395,366,360,382,2615
"The Bridge Academy District","=""2690013""",0,0,0,0,0,0,0,0,456,449,455,430,359,290,2439
"The Gilbert School District","=""9020022""",0,0,0,0,0,0,0,0,464,483,793,815,857,791,4203
"Unified School District #1","=""3360015""",0,0,0,0,0,0,0,0,0,202,1748,1455,1665,1673,6743
"Common Ground High School District","=""2680013""",0,0,0,0,0,0,0,0,0,0,535,392,327,256,1510
"Connecticut Technical High School System","=""9000016""",0,0,0,0,0,0,0,0,0,0,26420,24679,22619,21129,94847
"Department of Mental Health and Addiction Services","=""3370015""",0,0,0,0,0,0,0,0,0,0,"*","*",10,41,55
"Explorations District","=""2720013""",0,0,0,0,0,0,0,0,0,0,64,197,219,261,741
"Norwich Free Academy District","=""9010022""",0,0,0,0,0,0,0,0,0,0,5396,5594,5213,5038,21241
"Path Academy District","=""2930013""",0,0,0,0,0,0,0,0,0,0,124,88,49,14,275
"Regional School District 09","=""2090012""",0,0,0,0,0,0,0,0,0,0,2305,2282,2266,2280,9133
"Regional School District 19","=""2190012""",0,0,0,0,0,0,0,0,0,0,2670,2678,2633,2884,10865
"Stamford Academy District","=""2820013""",0,0,0,0,0,0,0,0,0,0,266,342,352,284,1244
"Woodstock Academy District","=""9030022""",0,0,0,0,0,0,0,0,0,0,2348,2446,2519,2493,9806
"Total","=""""",151021,351162,362824,362134,365043,367667,370834,374292,378840,382179,415318,392349,381014,374728,5029405

